node_id,tier,location,node_type,management_zone,crop_focus,criticality,power_source,sensor_type
L4N_05,L4,Millet_Pest_Monitor,Field_Sensor,Cereal_Belt,Millet,Standard,Battery_Solar,Temperature_Probe
L4N_06,L4,Millet_Topsoil_Monitor,Field_Sensor,Cereal_Belt,Millet,Standard,Battery_Solar,Soil_Moisture
L4N_07,L4,Maize_Crop_Canopy,Field_Sensor,Cereal_Belt,Maize,Standard,Battery_Solar,Nutrient_Level
L4N_08,L4,Maize_Fertilizer_Node,Field_Sensor,Cereal_Belt,Maize,Standard,Battery_Solar,Growth_Monitor
L4N_09,L4,Maize_Irrigation_Point,Field_Sensor,Cereal_Belt,Maize,Standard,Battery_Solar,Disease_Alert
L4N_10,L4,Cassava_Weather_Station,Field_Sensor,Rootcrop_Zone,Cassava,Standard,Battery_Solar,Rain_Gauge
L4N_11,L4,Cassava_Pest_Monitor,Field_Sensor,Rootcrop_Zone,Cassava,Standard,Battery_Solar,Temperature_Probe
L4N_12,L4,Cassava_Topsoil_Monitor,Field_Sensor,Rootcrop_Zone,Cassava,Standard,Battery_Solar,Soil_Moisture
L4N_13,L4,Yam_Crop_Canopy,Field_Sensor,Rootcrop_Zone,Yam,Standard,Battery_Solar,Nutrient_Level
L4N_14,L4,Yam_Fertilizer_Node,Field_Sensor,Rootcrop_Zone,Yam,Standard,Battery_Solar,Growth_Monitor
L4N_15,L4,Yam_Irrigation_Point,Field_Sensor,Rootcrop_Zone,Yam,Standard,Battery_Solar,Disease_Alert
L4N_16,L4,SweetPotato_Weather_Station,Field_Sensor,Rootcrop_Zone,SweetPotato,Standard,Battery_Solar,Rain_Gauge
L4N_17,L4,SweetPotato_Pest_Monitor,Field_Sensor,Rootcrop_Zone,SweetPotato,Standard,Battery_Solar,Temperature_Probe
L4N_18,L4,SweetPotato_Topsoil_Monitor,Field_Sensor,Rootcrop_Zone,SweetPotato,Standard,Battery_Solar,Soil_Moisture
L4N_19,L4,Tomato_Crop_Canopy,Field_Sensor,Vegetable_Belt,Tomato,Standard,Battery_Solar,Nutrient_Level
L4N_20,L4,Tomato_Fertilizer_Node,Field_Sensor,Vegetable_Belt,Tomato,Standard,Battery_Solar,Growth_Monitor
L4N_21,L4,Tomato_Irrigation_Point,Field_Sensor,Vegetable_Belt,Tomato,Standard,Battery_Solar,Disease_Alert
L4N_22,L4,Pepper_Weather_Station,Field_Sensor,Vegetable_Belt,Pepper,Standard,Battery_Solar,Rain_Gauge
L4N_23,L4,Pepper_Pest_Monitor,Field_Sensor,Vegetable_Belt,Pepper,Standard,Battery_Solar,Temperature_Probe
L4N_24,L4,Pepper_Topsoil_Monitor,Field_Sensor,Vegetable_Belt,Pepper,Standard,Battery_Solar,Soil_Moisture
L4N_25,L4,Onion_Crop_Canopy,Field_Sensor,Vegetable_Belt,Onion,Standard,Battery_Solar,Nutrient_Level
L4N_26,L4,Onion_Fertilizer_Node,Field_Sensor,Vegetable_Belt,Onion,Standard,Battery_Solar,Growth_Monitor
L4N_27,L4,Onion_Irrigation_Point,Field_Sensor,Vegetable_Belt,Onion,Standard,Battery_Solar,Disease_Alert
L4N_28,L4,OilPalm_Weather_Station,Field_Sensor,Treecrop_Zone,OilPalm,Standard,Battery_Solar,Rain_Gauge
L4N_29,L4,OilPalm_Pest_Monitor,Field_Sensor,Treecrop_Zone,OilPalm,Standard,Battery_Solar,Temperature_Probe
L4N_30,L4,OilPalm_Topsoil_Monitor,Field_Sensor,Treecrop_Zone,OilPalm,Standard,Battery_Solar,Soil_Moisture
L4N_31,L4,Cocoa_Crop_Canopy,Field_Sensor,Treecrop_Zone,Cocoa,Standard,Battery_Solar,Nutrient_Level
L4N_32,L4,Cocoa_Fertilizer_Node,Field_Sensor,Treecrop_Zone,Cocoa,Standard,Battery_Solar,Growth_Monitor
L4N_33,L4,Cocoa_Irrigation_Point,Field_Sensor,Treecrop_Zone,Cocoa,Standard,Battery_Solar,Disease_Alert
L4N_34,L4,Plantation_Weather_Station,Field_Sensor,Treecrop_Zone,Plantation,Standard,Battery_Solar,Rain_Gauge
L4N_35,L4,Plantation_Pest_Monitor,Field_Sensor,Treecrop_Zone,Plantation,Standard,Battery_Solar,Temperature_Probe
L4N_36,L4,Plantation_Topsoil_Monitor,Field_Sensor,Treecrop_Zone,Plantation,Standard,Battery_Solar,Soil_Moisture
